ConvNet(
  (layer1): Sequential(
    (0): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer2): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer3): Sequential(
    (0): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer4): Sequential(
    (0): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer5): Sequential(
    (0): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer6): Sequential(
    (0): Conv2d(192, 192, kernel_size=(3, 3), stride=(2, 2))
    (1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (fc): Linear(in_features=3072, out_features=10, bias=True)
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
Learning rate: 0.001
Epoch [1/20], Step [50/450], Loss: 1.6007, Accuracy:0.33
Epoch [1/20], Step [100/450], Loss: 1.3836, Accuracy:0.39
Epoch [1/20], Step [150/450], Loss: 1.3028, Accuracy:0.42
Epoch [1/20], Step [200/450], Loss: 1.4370, Accuracy:0.44
Epoch [1/20], Step [250/450], Loss: 1.1243, Accuracy:0.46
Epoch [1/20], Step [300/450], Loss: 1.1327, Accuracy:0.48
Epoch [1/20], Step [350/450], Loss: 1.0913, Accuracy:0.50
Epoch [1/20], Step [400/450], Loss: 1.0276, Accuracy:0.51
Epoch [1/20], Step [450/450], Loss: 1.1691, Accuracy:0.53
Epoch 1 validation accuracy= 0.6404
Epoch [2/20], Step [50/450], Loss: 0.7814, Accuracy:0.67
Epoch [2/20], Step [100/450], Loss: 0.8019, Accuracy:0.68
Epoch [2/20], Step [150/450], Loss: 0.9532, Accuracy:0.68
Epoch [2/20], Step [200/450], Loss: 0.7756, Accuracy:0.69
Epoch [2/20], Step [250/450], Loss: 0.8469, Accuracy:0.69
Epoch [2/20], Step [300/450], Loss: 0.7734, Accuracy:0.69
Epoch [2/20], Step [350/450], Loss: 0.8509, Accuracy:0.70
Epoch [2/20], Step [400/450], Loss: 0.9523, Accuracy:0.70
Epoch [2/20], Step [450/450], Loss: 0.8055, Accuracy:0.70
Epoch 2 validation accuracy= 0.7238
Epoch [3/20], Step [50/450], Loss: 0.6275, Accuracy:0.76
Epoch [3/20], Step [100/450], Loss: 0.6238, Accuracy:0.76
Epoch [3/20], Step [150/450], Loss: 0.7867, Accuracy:0.76
Epoch [3/20], Step [200/450], Loss: 0.6946, Accuracy:0.76
