ConvNet(
  (layer1): Sequential(
    (0): Conv2d(3, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer2): Sequential(
    (0): Conv2d(96, 96, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer3): Sequential(
    (0): Conv2d(96, 192, kernel_size=(3, 3), stride=(2, 2))
    (1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer4): Sequential(
    (0): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer5): Sequential(
    (0): Conv2d(192, 192, kernel_size=(3, 3), stride=(1, 1))
    (1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (layer6): Sequential(
    (0): Conv2d(192, 192, kernel_size=(3, 3), stride=(2, 2))
    (1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
  )
  (fc): Linear(in_features=3072, out_features=10, bias=True)
)
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
Learning rate: 0.001
Epoch [1/100], Step [50/450], Loss: 1.4986, Accuracy:0.32
Epoch [1/100], Step [100/450], Loss: 1.4203, Accuracy:0.38
Epoch [1/100], Step [150/450], Loss: 1.2667, Accuracy:0.42
Epoch [1/100], Step [200/450], Loss: 1.3139, Accuracy:0.44
Epoch [1/100], Step [250/450], Loss: 1.2493, Accuracy:0.47
Epoch [1/100], Step [300/450], Loss: 1.0921, Accuracy:0.49
Epoch [1/100], Step [350/450], Loss: 1.2488, Accuracy:0.51
Epoch [1/100], Step [400/450], Loss: 1.0418, Accuracy:0.52
Epoch [1/100], Step [450/450], Loss: 0.8844, Accuracy:0.53
Epoch 1 validation accuracy= 0.6344
Epoch [2/100], Step [50/450], Loss: 0.9544, Accuracy:0.67
Epoch [2/100], Step [100/450], Loss: 0.8650, Accuracy:0.67
Epoch [2/100], Step [150/450], Loss: 0.7432, Accuracy:0.67
Epoch [2/100], Step [200/450], Loss: 0.9007, Accuracy:0.67
Epoch [2/100], Step [250/450], Loss: 0.9304, Accuracy:0.68
Epoch [2/100], Step [300/450], Loss: 0.8077, Accuracy:0.69
Epoch [2/100], Step [350/450], Loss: 0.6558, Accuracy:0.69
Epoch [2/100], Step [400/450], Loss: 0.8640, Accuracy:0.69
Epoch [2/100], Step [450/450], Loss: 0.5870, Accuracy:0.70
Epoch 2 validation accuracy= 0.7222
Epoch [3/100], Step [50/450], Loss: 0.5708, Accuracy:0.77
Epoch [3/100], Step [100/450], Loss: 0.6292, Accuracy:0.77
Epoch [3/100], Step [150/450], Loss: 0.7101, Accuracy:0.77
Epoch [3/100], Step [200/450], Loss: 0.4180, Accuracy:0.76
Epoch [3/100], Step [250/450], Loss: 0.8166, Accuracy:0.77
Epoch [3/100], Step [300/450], Loss: 0.6020, Accuracy:0.77
Epoch [3/100], Step [350/450], Loss: 0.7092, Accuracy:0.77
Epoch [3/100], Step [400/450], Loss: 0.7969, Accuracy:0.77
Epoch [3/100], Step [450/450], Loss: 0.5126, Accuracy:0.77
Epoch 3 validation accuracy= 0.7476
Epoch [4/100], Step [50/450], Loss: 0.4928, Accuracy:0.82
Epoch [4/100], Step [100/450], Loss: 0.3947, Accuracy:0.82
